Title,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Publisher Name,Publisher Location,ISBN 1,ISBN 2,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Collective Author 1,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Author 24 First Name,Author 24 Last Name,Author 24 Affiliation,Author 25 First Name,Author 25 Last Name,Author 25 Affiliation,Author 26 First Name,Author 26 Last Name,Author 26 Affiliation,Author 27 First Name,Author 27 Last Name,Author 27 Affiliation,Author 28 First Name,Author 28 Last Name,Author 28 Affiliation,Author 29 First Name,Author 29 Last Name,Author 29 Affiliation,Author 30 First Name,Author 30 Last Name,Author 30 Affiliation,Author 31 First Name,Author 31 Last Name,Author 31 Affiliation,Author 32 First Name,Author 32 Last Name,Author 32 Affiliation,Author 33 First Name,Author 33 Last Name,Author 33 Affiliation
multitask learning and benchmarking with clinical time series data,17,06,2019,Scientific data,6,1,2052-4463,Hrayr,Harutyunyan,"USC Information Sciences Institute, Marina del Rey, California, 90292, United States of America.",Hrant,Khachatrian,"YerevaNN, Yerevan, 0025, Armenia. hrant@yerevann.com.",David C,Kale,"USC Information Sciences Institute, Marina del Rey, California, 90292, United States of America.",Greg,Ver Steeg,"USC Information Sciences Institute, Marina del Rey, California, 90292, United States of America.",Aram,Galstyan,"USC Information Sciences Institute, Marina del Rey, California, 90292, United States of America.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
predicting sepsis with a recurrent neural network using the mimic iii database,20,08,2019,Computers in biology and medicine,113,,1879-0534,Matthieu,Scherpf,"Institute of Biomedical Engineering, TU Dresden, Germany. Electronic address: Matthieu.Scherpf@tu-dresden.de.",Felix,Gräßer,"Institute of Biomedical Engineering, TU Dresden, Germany.",Hagen,Malberg,"Institute of Biomedical Engineering, TU Dresden, Germany.",Sebastian,Zaunseder,"Faculty of Information Technology, FH Dortmund, Germany.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
platelet-to-lymphocyte ratio as a prognostic predictor of mortality for sepsis: interaction effect with disease severity-a retrospective study,25,01,2019,BMJ open,9,1,2044-6055,Yanfei,Shen,"Department of Intensive Care Unit, Zhejiang Hospital, Hangzhou, China.",Xinmei,Huang,"Department of Otolaryngological, Jinhua TCM hospital, Jinhua, P. R. China.",Weimin,Zhang,"Department of Intensive Care Unit, Dongyang People's Hospital, Jinhua, P.R. China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"detecting insertion, substitution, and deletion errors in radiology reports using neural sequence-to-sequence models",XX,06,2019,Annals of translational medicine,7,11,2305-5839,John,Zech,"Department of Radiology, Icahn School of Medicine, New York, NY, USA.",Jessica,Forde,"Project Jupyter, 190 Doe Library, Berkeley, CA, USA.",Joseph J,Titano,"Department of Radiology, Icahn School of Medicine, New York, NY, USA.",Deepak,Kaji,"Department of Neurosurgery, Icahn School of Medicine, New York, NY, USA.",Anthony,Costa,"Department of Neurosurgery, Icahn School of Medicine, New York, NY, USA.",Eric Karl,Oermann,"Department of Neurosurgery, Icahn School of Medicine, New York, NY, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
synthesizing electronic health records using improved generative adversarial networks,01,03,2019,Journal of the American Medical Informatics Association : JAMIA,26,3,1527-974X,Mrinal Kanti,Baowaly,"Social Networks and Human-Centered Computing, Taiwan International Graduate Program, Institute of Information Science, Academia Sinica, Taipei, Taiwan.",Chia-Ching,Lin,"Graduate Institute of Electrical Engineering, National Taiwan University, Taipei, Taiwan.",Chao-Lin,Liu,"Department of Computer Science, National Chengchi University, Taipei, Taiwan.",Kuan-Ta,Chen,"Institute of Information Science, Academia Sinica, Taipei, Taiwan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
virus-virus interactions impact the population dynamics of influenza and the common cold,16,12,2019,Proceedings of the National Academy of Sciences of the United States of America,,,1091-6490,Sema,Nickbakhsh,"MRC-University of Glasgow Centre for Virus Research, Institute of Infection, Immunity and Inflammation, College of Medical, Veterinary and Life Sciences, University of Glasgow, G61 1QH Glasgow, United Kingdom.",Colette,Mair,"MRC-University of Glasgow Centre for Virus Research, Institute of Infection, Immunity and Inflammation, College of Medical, Veterinary and Life Sciences, University of Glasgow, G61 1QH Glasgow, United Kingdom.",Louise,Matthews,"Boyd Orr Centre for Population and Ecosystem Health, Institute of Biodiversity, Animal Health and Comparative Medicine, College of Medical, Veterinary and Life Sciences, University of Glasgow, G12 8QQ Glasgow, United Kingdom; louise.matthews@glasgow.ac.uk Pablo.Murcia@glasgow.ac.uk.",Richard,Reeve,"Boyd Orr Centre for Population and Ecosystem Health, Institute of Biodiversity, Animal Health and Comparative Medicine, College of Medical, Veterinary and Life Sciences, University of Glasgow, G12 8QQ Glasgow, United Kingdom.",Paul C D,Johnson,"Boyd Orr Centre for Population and Ecosystem Health, Institute of Biodiversity, Animal Health and Comparative Medicine, College of Medical, Veterinary and Life Sciences, University of Glasgow, G12 8QQ Glasgow, United Kingdom.",Fiona,Thorburn,"The Queen Elizabeth University Hospital, NHS Greater Glasgow and Clyde, G51 4TF Glasgow, United Kingdom.",Beatrix,von Wissmann,"Public Health, NHS Greater Glasgow and Clyde, G12 0XH Glasgow, United Kingdom.",Arlene,Reynolds,"Health Protection Scotland, NHS National Services Scotland, G2 6QE Glasgow, United Kingdom.",James,McMenamin,"Health Protection Scotland, NHS National Services Scotland, G2 6QE Glasgow, United Kingdom.",Rory N,Gunson,"West of Scotland Specialist Virology Centre, NHS Greater Glasgow and Clyde, G31 2ER Glasgow, United Kingdom.",Pablo R,Murcia,"MRC-University of Glasgow Centre for Virus Research, Institute of Infection, Immunity and Inflammation, College of Medical, Veterinary and Life Sciences, University of Glasgow, G61 1QH Glasgow, United Kingdom; louise.matthews@glasgow.ac.uk Pablo.Murcia@glasgow.ac.uk.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
an empirical evaluation of deep learning for icd-9 code assignment using mimic-iii clinical notes,25,05,2019,Computer methods and programs in biomedicine,177,,1872-7565,Jinmiao,Huang,"Georgia Institute of Technology, North Ave NW, Atlanta, Georgia, 30332, USA. Electronic address: vichuang@gatech.edu.",Cesar,Osorio,"Georgia Institute of Technology, North Ave NW, Atlanta, Georgia, 30332, USA. Electronic address: cesar.osorio@gatech.edu.",Luke Wicent,Sy,"Georgia Institute of Technology, North Ave NW, Atlanta, Georgia, 30332, USA. Electronic address: sylukewicent@gmail.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seeking predictors for paroxysmal atrial fibrillation in stroke with an online clinical database,05,12,2019,Northern clinics of Istanbul,7,4,2536-4553,Sefik Evren,Erdener,"Hacettepe University, Institute of Neurological Sciences and Psychiatry, Ankara, Turkey.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
estimating systolic blood pressure using convolutional neural networks,XX,XX,2019,Studies in health technology and informatics,261,,1879-8365,Solmaz,Rastegar,"School of Engineering, Computer and Mathematical Sciences, Auckland University of Technology, Auckland, New Zealand.",Hamid,Gholamhosseini,"School of Engineering, Computer and Mathematical Sciences, Auckland University of Technology, Auckland, New Zealand.",Andrew,Lowe,"School of Engineering, Computer and Mathematical Sciences, Auckland University of Technology, Auckland, New Zealand.",Farhad,Mehdipour,"Otago Polytechnic, Auckland, New Zealand.",Maria,Lindén,"School of Innovation, Design, and Engineering, Mälardalen University, Västerås, Sweden.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
predicting patient's diagnoses and diagnostic categories from clinical-events in ehr data,30,05,2019,Artificial intelligence in medicine. Conference on Artificial Intelligence in Medicine (2005- ),11526,,,Seyedsalim,Malakouti,"University of Pittsburgh, Pittsburgh PA 15260.",Milos,Hauskrecht,"University of Pittsburgh, Pittsburgh PA 15260.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
using self organizing maps to compare sepsis patients from the neonatal and adult intensive care unit,06,05,2019,AMIA Joint Summits on Translational Science proceedings. AMIA Joint Summits on Translational Science,2019,,2153-4063,Benjamin,Goddard,"Center for Biomedical Informatics, Brown University, Providence, RI USA.",Jonathan,Chang,"Center for Biomedical Informatics, Brown University, Providence, RI USA.",Indra Neil,Sarkar,"Center for Biomedical Informatics, Brown University, Providence, RI USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
early prediction of acute kidney injury following icu admission using a multivariate panel of physiological measurements,31,01,2019,BMC medical informatics and decision making,19,Suppl 1,1472-6947,Lindsay P,Zimmerman,"Northwestern University, Evanston, IL, 60208, USA.",Paul A,Reyfman,"Northwestern University, Evanston, IL, 60208, USA.",Angela D R,Smith,"Northwestern University, Evanston, IL, 60208, USA.",Zexian,Zeng,"Northwestern University, Evanston, IL, 60208, USA.",Abel,Kho,"Northwestern University, Evanston, IL, 60208, USA.",L Nelson,Sanchez-Pinto,"Northwestern University, Evanston, IL, 60208, USA.",Yuan,Luo,"Northwestern University, Evanston, IL, 60208, USA. Yuan.luo@northwestern.edu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
