Title,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Publisher Name,Publisher Location,ISBN 1,ISBN 2,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Collective Author 1,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Author 24 First Name,Author 24 Last Name,Author 24 Affiliation,Author 25 First Name,Author 25 Last Name,Author 25 Affiliation,Author 26 First Name,Author 26 Last Name,Author 26 Affiliation,Author 27 First Name,Author 27 Last Name,Author 27 Affiliation,Author 28 First Name,Author 28 Last Name,Author 28 Affiliation,Author 29 First Name,Author 29 Last Name,Author 29 Affiliation,Author 30 First Name,Author 30 Last Name,Author 30 Affiliation,Author 31 First Name,Author 31 Last Name,Author 31 Affiliation,Author 32 First Name,Author 32 Last Name,Author 32 Affiliation,Author 33 First Name,Author 33 Last Name,Author 33 Affiliation
using machine learning methods to predict in-hospital mortality of sepsis patients in the icu,02,10,2020,BMC medical informatics and decision making,20,1,1472-6947,Guilan,Kong,"National Institute of Health Data Science, Peking University, Beijing, China. guilan.kong@hsc.pku.edu.cn.",Ke,Lin,"National Institute of Health Data Science, Peking University, Beijing, China.",Yonghua,Hu,"Department of Epidemiology and Biostatistics, School of Public Health, Peking University, Beijing, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
predicting the need for intubation in the first 24 h after critical care admission using machine learning approaches,01,12,2020,Scientific reports,10,1,2045-2322,Benjamin Ming Kit,Siu,"Department of Anaesthesia and Intensive Care, Prince of Wales Hospital, Hong Kong, China.",Gloria Hyunjung,Kwak,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Hong Kong, China. hkwak@cse.ust.hk.",Lowell,Ling,"Department of Anaesthesia and Intensive Care, The Chinese University of Hong Kong, Hong Kong, China. lowell.ling@cuhk.edu.hk.",Pan,Hui,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Hong Kong, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toward optimal heparin dosing by comparing multiple machine learning methods: retrospective study,22,06,2020,JMIR medical informatics,8,6,2291-9694,Longxiang,Su,"Department of Critical Care Medicine, Peking Union Medical College Hospital, Peking Union Medical College & Chinese Academy of Medical, Beijing, China.",Chun,Liu,"Digital China Health Technologies Co Ltd, Beijing, China.",Dongkai,Li,"Department of Critical Care Medicine, Peking Union Medical College Hospital, Peking Union Medical College & Chinese Academy of Medical, Beijing, China.",Jie,He,"Digital China Health Technologies Co Ltd, Beijing, China.",Fanglan,Zheng,"Digital China Health Technologies Co Ltd, Beijing, China.",Huizhen,Jiang,"Department of Information Management, Peking Union Medical College Hospital, Peking Union Medical College & Chinese Academy of Medical, Beijing, China.",Hao,Wang,"Department of Critical Care Medicine, Peking Union Medical College Hospital, Peking Union Medical College & Chinese Academy of Medical, Beijing, China.",Mengchun,Gong,"Digital China Health Technologies Co Ltd, Beijing, China.",Na,Hong,"Digital China Health Technologies Co Ltd, Beijing, China.",Weiguo,Zhu,"Department of General Internal Medicine/Department of Information Management, Peking Union Medical College Hospital, Peking Union Medical College & Chinese Academy of Medical, Beijing, China.",Yun,Long,"Department of Critical Care Medicine, Peking Union Medical College Hospital, Peking Union Medical College & Chinese Academy of Medical, Beijing, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deceased serum bilirubin and albumin levels in the assessment of severity and mortality in patients with acute pancreatitis,23,09,2020,International journal of medical sciences,17,17,1449-1907,Xiao,Xu,"Department of Emergency, The Central Hospital of Wuhan, Tongji Medical College, Huazhong University of Science and Technology, Wuhan Hubei, 430014, China.",Fen,Ai,"Department of Emergency, The Central Hospital of Wuhan, Tongji Medical College, Huazhong University of Science and Technology, Wuhan Hubei, 430014, China.",Min,Huang,"Department of Nephrology, The Central Hospital of Wuhan, Tongji Medical College of Huazhong University of Science and Technology, Wuhan Hubei, 430014, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a machine learning-based prediction of hospital mortality in patients with postoperative sepsis,11,08,2020,Frontiers in medicine,7,,2296-858X,Ren-Qi,Yao,"Trauma Research Center, Fourth Medical Center of the Chinese PLA General Hospital, Beijing, China.",Xin,Jin,"School of Mathematics and Statistics, Beijing Institute of Technology, Beijing, China.",Guo-Wei,Wang,"School of Computer Science and Technology, Wuhan University of Technology, Wuhan, China.",Yue,Yu,"Department of Cardiothoracic Surgery, Changzheng Hospital, Naval Medical University, Shanghai, China.",Guo-Sheng,Wu,"Department of Burn Surgery, Changhai Hospital, Naval Medical University, Shanghai, China.",Yi-Bing,Zhu,"Medical Research and Biometrics Center, Fuwai Hospital, National Center for Cardiovascular Diseases, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, China.",Lin,Li,"School of Computer Science and Technology, Wuhan University of Technology, Wuhan, China.",Yu-Xuan,Li,"Department of General Surgery, First Medical Center of Chinese PLA General Hospital, Beijing, China.",Peng-Yue,Zhao,"Department of General Surgery, First Medical Center of Chinese PLA General Hospital, Beijing, China.",Sheng-Yu,Zhu,"Department of General Surgery, First Medical Center of Chinese PLA General Hospital, Beijing, China.",Zhao-Fan,Xia,"Department of Burn Surgery, Changhai Hospital, Naval Medical University, Shanghai, China.",Chao,Ren,"Trauma Research Center, Fourth Medical Center of the Chinese PLA General Hospital, Beijing, China.",Yong-Ming,Yao,"Trauma Research Center, Fourth Medical Center of the Chinese PLA General Hospital, Beijing, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
serum anion gap predicts all-cause mortality in critically ill patients with acute kidney injury: analysis of the mimic-iii database,21,01,2020,Disease markers,2020,,1875-8630,Bihuan,Cheng,"Department of Anesthesiology, Critical Care and Pain Medicine, The Second Affiliated Hospital and Yuying Children's Hospital of Wenzhou Medical University, Wenzhou, 325000 Zhejiang, China.",Diwen,Li,"Department of Anesthesiology, Critical Care and Pain Medicine, The Second Affiliated Hospital and Yuying Children's Hospital of Wenzhou Medical University, Wenzhou, 325000 Zhejiang, China.",Yuqiang,Gong,"Department of Anesthesiology, Critical Care and Pain Medicine, The Second Affiliated Hospital and Yuying Children's Hospital of Wenzhou Medical University, Wenzhou, 325000 Zhejiang, China.",Binyu,Ying,"Department of Anesthesiology, Critical Care and Pain Medicine, The Second Affiliated Hospital and Yuying Children's Hospital of Wenzhou Medical University, Wenzhou, 325000 Zhejiang, China.",Benji,Wang,"Department of Anesthesiology, Critical Care and Pain Medicine, The Second Affiliated Hospital and Yuying Children's Hospital of Wenzhou Medical University, Wenzhou, 325000 Zhejiang, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
predictive modeling of bacterial infections and antibiotic therapy needs in critically ill adults,16,08,2020,Journal of biomedical informatics,109,,1532-0480,Garrett,Eickelberg,"Department of Preventitive Medicine (Health & Biomedical Informatics), Feinberg School of Medicine, 750 N Lake Shore, Chicago, IL 60611, USA.",L Nelson,Sanchez-Pinto,"Department of Preventitive Medicine (Health & Biomedical Informatics), Feinberg School of Medicine, 750 N Lake Shore, Chicago, IL 60611, USA; Department of Pediatrics (Critical Care), 225 E. Chicago Avenue, Chicago, IL 60611, USA. Electronic address: lazaro.sanchez-pinto@northwestern.edu.",Yuan,Luo,"Department of Preventitive Medicine (Health & Biomedical Informatics), Feinberg School of Medicine, 750 N Lake Shore, Chicago, IL 60611, USA. Electronic address: yuan.luo@northwestern.edu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a decision support method for prehospital emergency care based on ranking the importance of physiological variables,24,08,2020,"Healthcare (Basel, Switzerland)",8,3,2227-9032,Li,Zhang,"School of Economics and Management, Tianjin University of Science and Technology, Tianjin 300457, China.",Shuying,Zhao,"College of Intelligence and Computing, Tianjin University, Tianjin 300350, China.",Fang,Li,"School of Biomedical Informatics, University of Texas Health Science Center at Houston, 7000 Fannin St Suite 600, Houston, TX 77030, USA.",Guozheng,Rao,"College of Intelligence and Computing, Tianjin University, Tianjin 300350, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pulmonary hypertension with adult respiratory distress syndrome: prevalence, clinical impact, and association with central venous pressure",10,07,2020,Pulmonary circulation,10,3,2045-8932,Dong-Kai,Li,"Department of Critical Care Medicine, Peking Union Medical College Hospital, Peking Union Medical College and Chinese Academy of Medical Science, Beijing, China.",Jia-Yu,Mao,"Department of Critical Care Medicine, Peking Union Medical College Hospital, Peking Union Medical College and Chinese Academy of Medical Science, Beijing, China.",Yun,Long,"Department of Critical Care Medicine, Peking Union Medical College Hospital, Peking Union Medical College and Chinese Academy of Medical Science, Beijing, China.",Da-Wei,Liu,"Department of Critical Care Medicine, Peking Union Medical College Hospital, Peking Union Medical College and Chinese Academy of Medical Science, Beijing, China.",Xiao-Ting,Wang,"Department of Critical Care Medicine, Peking Union Medical College Hospital, Peking Union Medical College and Chinese Academy of Medical Science, Beijing, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive association between systemic immune-inflammatory index and mortality of cardiogenic shock,09,10,2020,Clinica chimica acta; international journal of clinical chemistry,511,,1873-3492,Yangpei,Peng,"Department of Nephrology, The Second Affiliated Hospital and Yuying Children's Hospital of Wenzhou Medical University, Xueyuanxi Road, No 109, Wenzhou 325000, Zhejiang, China.",Wenwen,Huang,"Department of Nephrology, The Second Affiliated Hospital and Yuying Children's Hospital of Wenzhou Medical University, Xueyuanxi Road, No 109, Wenzhou 325000, Zhejiang, China.",Zhen,Shi,"Department of Nephrology, The Second Affiliated Hospital and Yuying Children's Hospital of Wenzhou Medical University, Xueyuanxi Road, No 109, Wenzhou 325000, Zhejiang, China.",Yaohui,Chen,"Department of Nephrology, The Second Affiliated Hospital and Yuying Children's Hospital of Wenzhou Medical University, Xueyuanxi Road, No 109, Wenzhou 325000, Zhejiang, China.",Jun,Ma,"Department of Cardiology, The Second Affiliated Hospital and Yuying Children's Hospital of Wenzhou Medical University, Xueyuanxi Road, No 109, Wenzhou 325000, Zhejiang, China. Electronic address: henrymajun@163.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
