title	url
Do Anesthesiologists Know What They Are Doing? Mining a Surgical Time-Series Database to Correlate Expert Assessment with Outcomes	http://dl.acm.org/citation.cfm?id=2822897
Predicting Complications in Critical Care Using Heterogeneous Clinical Data	http://ieeexplore.ieee.org/abstract/document/7593335/
The Release of S-Store System	https://pdfs.semanticscholar.org/569b/cf7b700af193c7f59ba150a41a4671317aba.pdf
Feature-augmented neural networks for patient note de-identification	https://arxiv.org/abs/1610.09704
Multivariate time-series analysis of physiological and clinical data	http://search.proquest.com/openview/48b13ac56d4f6ea55dd28ab6bda88941/1?pq-origsite=gscholar&cbl=18750&diss=y
Identifying and classifying semantic relations between medical concepts in clinical data (I2b2 Challenge)	http://www.site.uottawa.ca/~diana/publications/I2b2_10.pdf
Cuffless Blood Pressure Estimation Based on Photoplethysmography Signal and Its Second Derivative	http://search.proquest.com/openview/11fc9fc9aba49af8c923284784d9b311/1?pq-origsite=gscholar&cbl=2027404
Effects of Varying Sampling Frequency on the Analysis of Continuous ECG Data Streams	https://link.springer.com/chapter/10.1007/978-3-319-67186-4_7
Transfer Learning for Named-Entity Recognition with Neural Networks	https://arxiv.org/abs/1705.06273
A role and activity based access control for secure healthcare systems	http://link.springer.com/chapter/10.1007/978-3-319-22635-4_8
An Analysis of Rapid Response Team Calling Algorithms for Clinical Deficit Evaluation	https://tspace.library.utoronto.ca/handle/1807/42713
Comparative Effectiveness: Propensity Score Analysis	http://link.springer.com/chapter/10.1007/978-3-319-43742-2_23
Cardiac output monitoring in intensive care patients by radial artery pressure waveform analysis	http://ieeexplore.ieee.org/abstract/document/1404042/
Reducing unnecessary lab testing in the ICU with artificial intelligence	http://www.sciencedirect.com/science/article/pii/S1386505612002420
Big Data Analytics for Healthcare	http://www.achc.org.co/hospital360/contextos/Tecnologia_e_Informacion/Big_Data/Analisis_de_grandes_datos_en_salud.pdf
Temporal Data Mining for Healthcare Data.	https://books.google.com/books?hl=en&lr=lang_en&id=Iun5CQAAQBAJ&oi=fnd&pg=PA379&dq=(mimic-ii+OR+mimic-iii)+AND+(physionet)&ots=lHG1lR4MyJ&sig=a3nwocBTBd8XYMN5F8r94yTm8lE
A Report to the Board of Scientific Counselors September 2013	https://www.researchgate.net/profile/Mehmet_Kayaalp/publication/264158458_Clinical_Text_De-Identification_Research/links/53d0115e0cf2fd75bc5c8746.pdf
Risk prediction for heart failure incidence within 1-year using clinical and laboratory factors	http://ieeexplore.ieee.org/abstract/document/6943956/
Optical blood pressure estimation with photoplethysmography and FFT-based neural networks	https://www.osapublishing.org/abstract.cfm?uri=boe-7-8-3007
Heart beat detection in multimodal physiological data using a hidden semi-Markov model and signal quality indices	http://iopscience.iop.org/article/10.1088/0967-3334/36/8/1717/meta
Large-scale methodological comparison of acute hypotensive episode forecasting using mimic2 physiological waveforms	http://ieeexplore.ieee.org/abstract/document/6881899/
Supporting the annotation of chronic obstructive pulmonary disease (COPD) phenotypes with text mining workflows	https://jbiomedsem.biomedcentral.com/articles/10.1186/s13326-015-0004-6
Efficient and sparse feature selection for biomedical text classification via the elastic net: Application to ICU risk stratification from nursing notes	http://www.sciencedirect.com/science/article/pii/S1532046415000210
Big Data and Knowledge Extraction for Cyber-Physical Systems	http://downloads.hindawi.com/journals/specialissues/295809.pdf
