Title,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Publisher Name,Publisher Location,ISBN 1,ISBN 2,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Collective Author 1,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Author 24 First Name,Author 24 Last Name,Author 24 Affiliation,Author 25 First Name,Author 25 Last Name,Author 25 Affiliation,Author 26 First Name,Author 26 Last Name,Author 26 Affiliation,Author 27 First Name,Author 27 Last Name,Author 27 Affiliation,Author 28 First Name,Author 28 Last Name,Author 28 Affiliation,Author 29 First Name,Author 29 Last Name,Author 29 Affiliation,Author 30 First Name,Author 30 Last Name,Author 30 Affiliation,Author 31 First Name,Author 31 Last Name,Author 31 Affiliation,Author 32 First Name,Author 32 Last Name,Author 32 Affiliation,Author 33 First Name,Author 33 Last Name,Author 33 Affiliation
discriminative and distinct phenotyping by constrained tensor factorization,25,04,2017,Scientific reports,7,1,2045-2322,Yejin,Kim,"Department of Creative IT Engineering, Pohang University of Science and Technology, Pohang, Korea.",Robert,El-Kareh,"Department of Biomedical Informatics, UC San Diego, La Jolla, CA, United States.",Jimeng,Sun,"School of Computational Science and Engineering, Georgia Institute of Technology, Atlanta, GA, United States.",Hwanjo,Yu,"Department of Computer Science and Engineering, Pohang University of Science and Technology, Pohang, Korea. hwanjoyu@postech.ac.kr.",Xiaoqian,Jiang,"Department of Biomedical Informatics, UC San Diego, La Jolla, CA, United States. x1jiang@ucsd.edu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
characterization of long-term elution of platinum from carboplatin-impregnated calcium sulfate hemihydrate beads in vitro by two distinct sample collection methods,XX,05,2017,American journal of veterinary research,78,5,1943-5681,Rachel J,Tulipan,,Heidi,Phillips,,Laura D,Garrett,,Levent,Dirikolu,,Mark A,Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
performance comparison of systemic inflammatory response syndrome with logistic regression models to predict sepsis in neonates,19,12,2017,"Children (Basel, Switzerland)",4,12,2227-9067,Jyoti,Thakur,"Department of Instrumentation and Control Engineering, Dr. B. R. Ambedkar National Institute of Technology, Jalandhar, Punjab 144011, India. jyotit.15.phd@nitj.ac.in.",Sharvan Kumar,Pahuja,"Department of Instrumentation and Control Engineering, Dr. B. R. Ambedkar National Institute of Technology, Jalandhar, Punjab 144011, India. pahujas@nitj.ac.in.",Roop,Pahuja,"Department of Instrumentation and Control Engineering, Dr. B. R. Ambedkar National Institute of Technology, Jalandhar, Punjab 144011, India. pahujar@nitj.ac.in.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"adsorption of 1,2-dichlorobenzene and 1,2,4-trichlorobenzene in nano- and microsized crystals of mil-101(cr): static and dynamic gravimetric studies",26,09,2017,Environmental science and pollution research international,24,34,1614-7499,Laetitia,Bullot,"Université de Strasbourg (Unistra), Université de Haute Alsace (UHA), Axe Matériaux à Porosité Contrôlée (MPC), Institut de Science des Matériaux de Mulhouse (IS2M), UMR CNRS 7361, ENSCMu, 3 bis rue Alfred Werner, 68093, Mulhouse Cedex, France.",Ludivine,Vieira-Sellaï,"Université de Strasbourg (Unistra), Université de Haute Alsace (UHA), Axe Matériaux à Porosité Contrôlée (MPC), Institut de Science des Matériaux de Mulhouse (IS2M), UMR CNRS 7361, ENSCMu, 3 bis rue Alfred Werner, 68093, Mulhouse Cedex, France.",Gérald,Chaplais,"Université de Strasbourg (Unistra), Université de Haute Alsace (UHA), Axe Matériaux à Porosité Contrôlée (MPC), Institut de Science des Matériaux de Mulhouse (IS2M), UMR CNRS 7361, ENSCMu, 3 bis rue Alfred Werner, 68093, Mulhouse Cedex, France. gerald.chaplais@uha.fr.",Angélique,Simon-Masseron,"Université de Strasbourg (Unistra), Université de Haute Alsace (UHA), Axe Matériaux à Porosité Contrôlée (MPC), Institut de Science des Matériaux de Mulhouse (IS2M), UMR CNRS 7361, ENSCMu, 3 bis rue Alfred Werner, 68093, Mulhouse Cedex, France.",Toufic Jean,Daou,"Université de Strasbourg (Unistra), Université de Haute Alsace (UHA), Axe Matériaux à Porosité Contrôlée (MPC), Institut de Science des Matériaux de Mulhouse (IS2M), UMR CNRS 7361, ENSCMu, 3 bis rue Alfred Werner, 68093, Mulhouse Cedex, France.",Joël,Patarin,"Université de Strasbourg (Unistra), Université de Haute Alsace (UHA), Axe Matériaux à Porosité Contrôlée (MPC), Institut de Science des Matériaux de Mulhouse (IS2M), UMR CNRS 7361, ENSCMu, 3 bis rue Alfred Werner, 68093, Mulhouse Cedex, France.",Emmanuel,Fiani,"French Agency for Environment and Energy Management (ADEME), 20 avenue du Grésillé, BP 90406, 49004, Angers Cedex 01, France.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repeatability testing of a new hybrid iii 6-year-old atd lower extremity,29,05,2017,Traffic injury prevention,18,sup1,1538-957X,Laura C,Boucher,"a Injury Biomechanics Research Center , The Ohio State University , Columbus , Ohio.",Yeonsu,Ryu,"a Injury Biomechanics Research Center , The Ohio State University , Columbus , Ohio.",Yun-Seok,Kang,"a Injury Biomechanics Research Center , The Ohio State University , Columbus , Ohio.",John H,Bolte,"a Injury Biomechanics Research Center , The Ohio State University , Columbus , Ohio.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development of a novel score for the prediction of hospital mortality in patients with severe sepsis: the use of electronic healthcare records with lasso regression,25,07,2017,Oncotarget,8,30,1949-2553,Zhongheng,Zhang,"Department of Emergency Medicine, Sir Run-Run Shaw Hospital, Zhejiang University School of Medicine, Hangzhou, 310016, China.",Yucai,Hong,"Department of Emergency Medicine, Sir Run-Run Shaw Hospital, Zhejiang University School of Medicine, Hangzhou, 310016, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phenotyping hypotensive patients in critical care using hospital discharge summaries,13,04,2017,... IEEE-EMBS International Conference on Biomedical and Health Informatics. IEEE-EMBS International Conference on Biomedical and Health Informatics,2017,,2641-3590,Yang,Dai,"Institute for Medical Engineering and Science, Massachusetts Institute of Technology, Cambridge, MA.",Sharukh,Lokhandwala,"Institute for Medical Engineering and Science, Massachusetts Institute of Technology, Cambridge, MA.",William,Long,"Institute for Medical Engineering and Science, Massachusetts Institute of Technology, Cambridge, MA.",Roger,Mark,"Institute for Medical Engineering and Science, Massachusetts Institute of Technology, Cambridge, MA.",Li-Wei H,Lehman,"Institute for Medical Engineering and Science, Massachusetts Institute of Technology, Cambridge, MA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
identifying psychiatric comorbidities for obstructive sleep apnea in the biomedical literature and electronic health record,26,07,2017,AMIA Joint Summits on Translational Science proceedings. AMIA Joint Summits on Translational Science,2017,,2153-4063,Jessica M,Haddad,"Center for Biomedical Informatics, Brown University, Providence, RI.",Elizabeth S,Chen,"Center for Biomedical Informatics, Brown University, Providence, RI.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prediction of early unplanned intensive care unit readmission in a uk tertiary care hospital: a cross-sectional machine learning approach,15,09,2017,BMJ open,7,9,2044-6055,Thomas,Desautels,"Dascena Inc., Hayward, California, USA.",Ritankar,Das,"Dascena Inc., Hayward, California, USA.",Jacob,Calvert,"Dascena Inc., Hayward, California, USA.",Monica,Trivedi,"John V Farman Intensive Care Unit, Addenbrooke's Hospital, Cambridge, UK.",Charlotte,Summers,"Division of Anaesthesia, University of Cambridge, Addenbrooke's Hospital, Cambridge, UK.",David J,Wales,"Department of Chemistry, University of Cambridge, Cambridge, UK.",Ari,Ercole,"Division of Anaesthesia, University of Cambridge, Addenbrooke's Hospital, Cambridge, UK.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collision frequency locality-sensitive hashing for prediction of critical events,XX,07,2017,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,2017,,2694-0604,Y Bryce,Kim,,Erik,Hemberg,,Una-May,O'Reilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
