Title,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Journal Issue,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Author 24 First Name,Author 24 Last Name,Author 24 Affiliation,Author 25 First Name,Author 25 Last Name,Author 25 Affiliation,Author 26 First Name,Author 26 Last Name,Author 26 Affiliation,Author 27 First Name,Author 27 Last Name,Author 27 Affiliation,Author 28 First Name,Author 28 Last Name,Author 28 Affiliation,Author 29 First Name,Author 29 Last Name,Author 29 Affiliation,Collective Author 1
"the emerging landscape of health research based on biobanks linked to electronic health records: existing resources, statistical challenges, and potential opportunities",20,12,2019,Statistics in medicine,39,1097-0258,Lauren J,Beesley,"Department of Biostatistics, University of Michigan, Ann Arbor, Michigan.",Maxwell,Salvatore,"Department of Biostatistics, University of Michigan, Ann Arbor, Michigan.",Lars G,Fritsche,"Department of Biostatistics, University of Michigan, Ann Arbor, Michigan.",Anita,Pandit,"Department of Biostatistics, University of Michigan, Ann Arbor, Michigan.",6,Arvind,Rao,"Department of Computational Medicine and Bioinformatics, University of Michigan, Ann Arbor, Michigan.",Chad,Brummett,"Department of Anesthesiology, University of Michigan, Ann Arbor, Michigan.",Cristen J,Willer,"Department of Computational Medicine and Bioinformatics, University of Michigan, Ann Arbor, Michigan.",Lynda D,Lisabeth,"Department of Epidemiology, University of Michigan, Ann Arbor, Michigan.",Bhramar,Mukherjee,"Department of Biostatistics, University of Michigan, Ann Arbor, Michigan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mimic-cxr, a de-identified publicly available database of chest radiographs with free-text reports",12,12,2019,Scientific data,6,2052-4463,Alistair E W,Johnson,"Institute of Medical Engineering & Science, Massachusetts Institute of Technology, Cambridge, MA, USA. aewj@mit.edu.",Tom J,Pollard,"Institute of Medical Engineering & Science, Massachusetts Institute of Technology, Cambridge, MA, USA.",Seth J,Berkowitz,"Department of Radiology, Beth Israel Deaconess Medical Center, Boston, MA, USA.",Nathaniel R,Greenbaum,"Department of Emergency Medicine, Beth Israel Deaconess Medical Center, Boston, MA, USA.",1,Matthew P,Lungren,"Department of Radiology, Stanford University, Palo Alto, CA, USA.",Chih-Ying,Deng,"Department of Biomedical Informatics, Harvard Medical School, Boston, MA, USA.",Roger G,Mark,"Institute of Medical Engineering & Science, Massachusetts Institute of Technology, Cambridge, MA, USA.",Steven,Horng,"Department of Emergency Medicine, Beth Israel Deaconess Medical Center, Boston, MA, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
characterization and validation of a novel measure of septic shock severity,04,11,2019,Intensive care medicine,46,1432-1238,Nicholas A,Bosch,"Department of Medicine, The Pulmonary Center, Boston University School of Medicine, 72 East Concord St., R-304, Boston, MA, 02118, USA. nabosch@bu.edu.",Bijan,Teja,"Interdisciplinary Division of Critical Care Medicine, University of Toronto, Toronto, Canada.",Hannah,Wunsch,"Department of Critical Care Medicine, Sunnybrook Health Sciences Centre, Toronto, Canada.",Allan J,Walkey,"Department of Medicine, The Pulmonary Center, Boston University School of Medicine, 72 East Concord St., R-304, Boston, MA, 02118, USA.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trends and focus of machine learning applications for health research,02,10,2019,JAMA network open,2,2574-3805,Brett,Beaulieu-Jones,"Department of Biomedical Informatics, Harvard Medical School, Boston, Massachusetts.",Samuel G,Finlayson,"Harvard Medical School, Boston, Massachusetts.",Corey,Chivers,"Predictive Health Care Group, University of Pennsylvania Health System, Philadelphia.",Irene,Chen,"MIT Computer Science and Artificial Intelligence Lab, Boston, Massachusetts.",10,Matthew,McDermott,"MIT Computer Science and Artificial Intelligence Lab, Boston, Massachusetts.",Jaz,Kandola,"Department of Medicine, Imperial College London, London, United Kingdom.",Adrian V,Dalca,"Department of Biomedical Informatics, Harvard Medical School, Boston, Massachusetts.",Andrew,Beam,"Department of Epidemiology, Harvard T.H. Chan School of Public Health, Boston, Massachusetts.",Madalina,Fiterau,"College of Information and Computer Sciences, University of Massachusetts, Amherst.",Tristan,Naumann,"Microsoft Research, Redmond, Washington.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curation of an intensive care research dataset from routinely collected patient data in an nhs trust,19,08,2019,F1000Research,8,2046-1402,Chris,McWilliams,"Department of Engineering Mathematics, University of Bristol, Bristol, UK.",Joshua,Inoue,"University Hospitals Bristol NHS Foundation Trust, Bristol, UK.",Philip,Wadey,"University Hospitals Bristol NHS Foundation Trust, Bristol, UK.",Graeme,Palmer,"University Hospitals Bristol NHS Foundation Trust, Bristol, UK.",,Raul,Santos-Rodriguez,"Department of Engineering Mathematics, University of Bristol, Bristol, UK.",Christopher,Bourdeaux,"University Hospitals Bristol NHS Foundation Trust, Bristol, UK.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
using the national early warning score (news/news 2) in different intensive care units (icus) to predict the discharge location of patients,05,09,2019,BMC public health,19,1471-2458,Hassan,Zaidi,"Centre for Healthcare Modelling and Informatics, University of Portsmouth, Portsmouth, UK. hassan.zaidi@port.ac.uk.",Mohamed,Bader-El-Den,"School of Computing, University of Portsmouth, Portsmouth, UK.",James,McNicholas,"Portsmouth Hospitals NHS Trust, Portsmouth, UK.",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
developing well-calibrated illness severity scores for decision support in the critically ill,15,08,2019,NPJ digital medicine,2,2398-6352,Christopher V,Cosgriff,"1MIT Critical Data, Laboratory for Computational Physiology, Harvard-MIT Health Sciences & Technology, Massachusetts Institute of Technology, Cambridge, MA 02139 USA.",Leo Anthony,Celi,"1MIT Critical Data, Laboratory for Computational Physiology, Harvard-MIT Health Sciences & Technology, Massachusetts Institute of Technology, Cambridge, MA 02139 USA.",Stephanie,Ko,"4Department of Medicine, National University Health Systems, Singapore, Singapore.",Tejas,Sundaresan,"5Computer Science and Artificial Intelligence Laboratory, Massachusetts Institute of Technology, Cambridge, MA 02139 USA.",,Miguel Ángel,Armengol de la Hoz,"1MIT Critical Data, Laboratory for Computational Physiology, Harvard-MIT Health Sciences & Technology, Massachusetts Institute of Technology, Cambridge, MA 02139 USA.",Aaron Russell,Kaufman,"9Department of Government, Harvard University, Cambridge, MA 02138 USA.",David J,Stone,"1MIT Critical Data, Laboratory for Computational Physiology, Harvard-MIT Health Sciences & Technology, Massachusetts Institute of Technology, Cambridge, MA 02139 USA.",Omar,Badawi,"Department of eICU Research and Development, Philips Healthcare, Baltimore, MD 21202 USA.",Rodrigo Octavio,Deliberato,"1MIT Critical Data, Laboratory for Computational Physiology, Harvard-MIT Health Sciences & Technology, Massachusetts Institute of Technology, Cambridge, MA 02139 USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prognostic value of serum lactate kinetics in critically ill patients with cirrhosis and acute-on-chronic liver failure: a multicenter study,01,07,2019,Aging,11,1945-4589,Feng,Gao,"Department of Gastroenterology and Hepatology, The First Affiliated Hospital of Wenzhou Medical University, Wenzhou, China.",Xie-Lin,Huang,"Department of Gastroenterology Surgery, The Second Affiliated Hospital of Wenzhou Medical University, Wenzhou, China.",Meng-Xing,Cai,"Department of Cardiovascular Medicine, The Heart Center, The First Affiliated Hospital of Wenzhou Medical University, Wenzhou, China.",Miao-Tong,Lin,"Department of Emergency Medicine, Intensive Care, The First Affiliated Hospital of Wenzhou Medical University, Wenzhou, China.",13,Bin-Feng,Wang,"Department of Gastroenterology and Hepatology, The First Affiliated Hospital of Wenzhou Medical University, Wenzhou, China.",Wei,Wu,"Department of Gastroenterology and Hepatology, The First Affiliated Hospital of Wenzhou Medical University, Wenzhou, China.",Zhi-Ming,Huang,"Department of Gastroenterology and Hepatology, The First Affiliated Hospital of Wenzhou Medical University, Wenzhou, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"critical care, critical data",12,06,2019,Biomedical engineering and computational biology,10,1179-5972,Christopher V,Cosgriff,"MIT Critical Data, Massachusetts Institute of Technology, Cambridge, MA, USA.",Leo Anthony,Celi,"MIT Critical Data, Massachusetts Institute of Technology, Cambridge, MA, USA.",David J,Stone,"MIT Critical Data, Massachusetts Institute of Technology, Cambridge, MA, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
association of hypokalemia with an increased risk for medically treated arrhythmias,17,06,2019,PloS one,14,1932-6203,Colin T,Phillips,"Cardiovascular Division, Maine Medical Center, Portland, ME, United States of America.",Junmei,Wang,"School of Biological Science and Medical Engineering, Beihang University, Beijing, P.R. China.",Leo Anthony,Celi,"Laboratory for Computational Physiology, MIT Institute for Medical Engineering and Science, Massachusetts Institute of Technology, Cambridge, MA, United States of America.",Zhengbo,Zhang,"Department of Biomedical Engineering, Chinese PLA General Hospital, Beijing, P.R. China.",6,Mengling,Feng,"Saw Swee Hock School of Public Health, National University Health System, National University of Singapore, Singapore, Singapore.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
