Title,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Journal Issue,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Author 24 First Name,Author 24 Last Name,Author 24 Affiliation,Author 25 First Name,Author 25 Last Name,Author 25 Affiliation,Author 26 First Name,Author 26 Last Name,Author 26 Affiliation,Author 27 First Name,Author 27 Last Name,Author 27 Affiliation,Author 28 First Name,Author 28 Last Name,Author 28 Affiliation,Author 29 First Name,Author 29 Last Name,Author 29 Affiliation,Collective Author 1
circadian rhythm in critically ill patients: insights from the eicu database,17,02,2021,Cardiovascular digital health journal,2,2666-6936,Sebastian E,Beyer,"Division of Cardiology, Department of Medicine, Weill Cornell Medical College, New York Presbyterian Hospital, New York, New York.",Catia,Salgado,"IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, Portugal.",Ines,Garçao,"IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, Portugal.",Leo Anthony,Celi,"Laboratory of Computational Physiology, Institute for Medical Engineering and Science, Massachusetts Institute of Technology, Cambridge, Massachusetts.",2,Susana,Vieira,"IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, Portugal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the lactate/albumin ratio predicts mortality in critically ill patients with acute kidney injury: an observational multicenter study on the eicu database,30,12,2021,International journal of general medicine,14,1178-7074,Xu,Zhu,"Department of Epidemiology and Health Statistics, College of Integrated Traditional Chinese and Western Medicine, Hunan University of Chinese Medicine, Changsha, Hunan, 410208, People's Republic of China.",Jing,Xue,"Department of Scientific Research, Xiangya Hospital, Central South University, Changsha, Hunan, 410008, People's Republic of China.",Zheng,Liu,"Department of Anesthesiology, Shandong Provincial Qianfoshan Hospital, The First Hospital Affiliated with Shandong First Medical University, Ji'nan, Shandong, 250014, People's Republic of China.",Wenjie,Dai,"Xiangya School of Public Health, Central South University, Changsha, Hunan, 410008, People's Republic of China.",,Hui,Xu,"Department of Nephrology, Xiangya Hospital, Central South University, Changsha, Hunan, 410008, People's Republic of China.",Qiaoling,Zhou,"Department of Nephrology, Xiangya Hospital, Central South University, Changsha, Hunan, 410008, People's Republic of China.",Shuangping,Zhao,"Department of Intensive Care Unit, Xiangya Hospital, Central South University, Changsha, Hunan, 410008, People's Republic of China.",Quan,Zhou,"Department of Science and Education, The First People's Hospital of Changde City, Changde, Hunan, 415000, People's Republic of China.",Wenhang,Chen,"Department of Nephrology, Xiangya Hospital, Central South University, Changsha, Hunan, 410008, People's Republic of China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
origin of sepsis associated with the short-term mortality of patients: a retrospective study using the eicu collaborative research database,24,12,2021,International journal of general medicine,14,1178-7074,Qinglin,Li,"Department of Hepatobiliary Surgery, The First Affiliated Hospital of Xi'an Jiaotong University, Xi'an, Shaanxi, 710061, People's Republic of China.",Yingmu,Tong,"Department of Hepatobiliary Surgery, The First Affiliated Hospital of Xi'an Jiaotong University, Xi'an, Shaanxi, 710061, People's Republic of China.",Hai,Wang,"Department of Hepatobiliary Surgery, The First Affiliated Hospital of Xi'an Jiaotong University, Xi'an, Shaanxi, 710061, People's Republic of China.",Jie,Ren,"Department of Hepatobiliary Surgery, The First Affiliated Hospital of Xi'an Jiaotong University, Xi'an, Shaanxi, 710061, People's Republic of China.",,Sinan,Liu,"Department of Hepatobiliary Surgery, The First Affiliated Hospital of Xi'an Jiaotong University, Xi'an, Shaanxi, 710061, People's Republic of China.",Tong,Liu,"Department of Hepatobiliary Surgery, The First Affiliated Hospital of Xi'an Jiaotong University, Xi'an, Shaanxi, 710061, People's Republic of China.",Kai,Qu,"Department of Hepatobiliary Surgery, The First Affiliated Hospital of Xi'an Jiaotong University, Xi'an, Shaanxi, 710061, People's Republic of China.",Chang,Liu,"Department of Hepatobiliary Surgery, The First Affiliated Hospital of Xi'an Jiaotong University, Xi'an, Shaanxi, 710061, People's Republic of China.",Jingyao,Zhang,"Department of Hepatobiliary Surgery, The First Affiliated Hospital of Xi'an Jiaotong University, Xi'an, Shaanxi, 710061, People's Republic of China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a machine learning approach for the prediction of traumatic brain injury induced coagulopathy,10,12,2021,Frontiers in medicine,8,2296-858X,Fan,Yang,"Department of Plastic Surgery and Burns, Tangdu Hospital, Fourth Military Medical University, Xi'an, China.",Chi,Peng,"Department of Health Statistics, Second Military Medical University, Shanghai, China.",Liwei,Peng,"Department of Neurosurgery, Tangdu Hospital, Fourth Military Medical University, Xi'an, China.",Jian,Wang,"Department of Neurosurgery, Tangdu Hospital, Fourth Military Medical University, Xi'an, China.",,Yuejun,Li,"Department of Plastic Surgery and Burns, Tangdu Hospital, Fourth Military Medical University, Xi'an, China.",Weixin,Li,"Department of Neurosurgery, Tangdu Hospital, Fourth Military Medical University, Xi'an, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
predicting prolonged length of icu stay through machine learning,30,11,2021,"Diagnostics (Basel, Switzerland)",11,2075-4418,Jingyi,Wu,"National Institute of Health Data Science, Peking University, Beijing 100191, China.",Yu,Lin,"Department of Medicine and Therapeutics, LKS Institute of Health Science, The Chinese University of Hong Kong, Hong Kong, China.",Pengfei,Li,"Advanced Institute of Information Technology, Peking University, Hangzhou 311215, China.",Yonghua,Hu,"Department of Epidemiology and Biostatistics, School of Public Health, Peking University, Beijing 100191, China.",12,Luxia,Zhang,"National Institute of Health Data Science, Peking University, Beijing 100191, China.",Guilan,Kong,"National Institute of Health Data Science, Peking University, Beijing 100191, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swift: a deep learning approach to prediction of hypoxemic events in critically-ill patients using spo2 waveform prediction,21,12,2021,PLoS computational biology,17,1553-7358,Akshaya V,Annapragada,"Johns Hopkins University School of Medicine, Baltimore, Maryland, United States of America.",Joseph L,Greenstein,"Institute for Computational Medicine, The Johns Hopkins University, Baltimore, Maryland, United States of America.",Sanjukta N,Bose,"Institute for Computational Medicine, The Johns Hopkins University, Baltimore, Maryland, United States of America.",Bradford D,Winters,"Anesthesiology and Critical Care Medicine, Johns Hopkins University School of Medicine, Baltimore, Maryland, United States of America.",12,Sridevi V,Sarma,"Institute for Computational Medicine, The Johns Hopkins University, Baltimore, Maryland, United States of America.",Raimond L,Winslow,"Institute for Computational Medicine, The Johns Hopkins University, Baltimore, Maryland, United States of America.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
platelet-lymphocyte ratio as a new predictor of in-hospital mortality in cardiac intensive care unit patients,08,12,2021,Scientific reports,11,2045-2322,Guangyao,Zhai,"Beijing AnZhen Hospital, Capital Medical University Affiliated Anzhen Hospital, Beijing, Beijing, 100089, China.",Jianlong,Wang,"Beijing AnZhen Hospital, Capital Medical University Affiliated Anzhen Hospital, Beijing, Beijing, 100089, China.",Yuyang,Liu,"Beijing AnZhen Hospital, Capital Medical University Affiliated Anzhen Hospital, Beijing, Beijing, 100089, China.",Yujie,Zhou,"Beijing AnZhen Hospital, Capital Medical University Affiliated Anzhen Hospital, Beijing, Beijing, 100089, China. azzyj12@163.com.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mortality prediction using sao<sub>2</sub>/fio<sub>2</sub> ratio based on eicu database analysis,08,11,2021,Critical care research and practice,2021,2090-1305,Sharad,Patel,"Cooper University Hospital, Camden, NJ, USA.",Gurkeerat,Singh,"Piedmont Columbus Regional, Columbus, GA, USA.",Samson,Zarbiv,"Cooper University Hospital, Camden, NJ, USA.",Kia,Ghiassi,"University of Missouri, St. Louis, MO, USA.",,Jean-Sebastien,Rachoin,"Cooper University Hospital, Camden, NJ, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
identifying early-measured variables associated with apache iva providing incorrect in-hospital mortality predictions for critical care patients,12,11,2021,Scientific reports,11,2045-2322,Shuo,Feng,"Department of Statistics and Actuarial Science, University of Waterloo, Waterloo, ON, Canada.",Joel A,Dubin,"Department of Statistics and Actuarial Science, University of Waterloo, Waterloo, ON, Canada. jdubin@uwaterloo.ca.",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
local differential privacy in the medical domain to protect sensitive information: algorithm development and real-world validation,08,11,2021,JMIR medical informatics,9,2291-9694,MinDong,Sung,"Department of Biomedical Systems Informatics, Yonsei University College of Medicine, Seoul, Republic of Korea.",Dongchul,Cha,"Department of Biomedical Systems Informatics, Yonsei University College of Medicine, Seoul, Republic of Korea.",Yu Rang,Park,"Department of Biomedical Systems Informatics, Yonsei University College of Medicine, Seoul, Republic of Korea.",,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
